Pavarde        Vardas         Galutinis (Vid.)    Galutinis (Med.)    
Pavarde8748    Vardas8748     3.77                3.40                
Pavarde8749    Vardas8749     5.44                4.80                
Pavarde8750    Vardas8750     3.01                2.40                
Pavarde8751    Vardas8751     5.57                5.20                
Pavarde8752    Vardas8752     3.28                3.20                
Pavarde8753    Vardas8753     6.96                7.20                
Pavarde8754    Vardas8754     2.99                2.80                
Pavarde8755    Vardas8755     7.31                7.60                
Pavarde8756    Vardas8756     5.07                4.80                
Pavarde8757    Vardas8757     4.75                4.80                
Pavarde8758    Vardas8758     6.03                6.00                
Pavarde8759    Vardas8759     3.28                3.20                
Pavarde8760    Vardas8760     5.95                6.00                
Pavarde8761    Vardas8761     6.44                6.60                
Pavarde8762    Vardas8762     8.24                8.40                
Pavarde8763    Vardas8763     5.03                5.40                
Pavarde8764    Vardas8764     7.65                8.40                
Pavarde8765    Vardas8765     4.23                4.20                
Pavarde8766    Vardas8766     7.12                7.20                
Pavarde8767    Vardas8767     7.07                7.60                
Pavarde8768    Vardas8768     3.72                3.40                
Pavarde8769    Vardas8769     7.40                7.40                
Pavarde8770    Vardas8770     3.75                3.80                
Pavarde8771    Vardas8771     3.96                4.60                
Pavarde8772    Vardas8772     8.21                8.00                
Pavarde8773    Vardas8773     4.87                5.00                
Pavarde8774    Vardas8774     5.40                5.40                
Pavarde8775    Vardas8775     6.23                6.20                
Pavarde8776    Vardas8776     3.21                3.40                
Pavarde8777    Vardas8777     6.32                6.80                
Pavarde8778    Vardas8778     4.47                4.60                
Pavarde8779    Vardas8779     7.67                7.40                
Pavarde8780    Vardas8780     5.08                5.00                
Pavarde8781    Vardas8781     5.81                6.40                
Pavarde8782    Vardas8782     4.95                4.60                
Pavarde8783    Vardas8783     7.37                7.40                
Pavarde8784    Vardas8784     3.01                2.80                
Pavarde8785    Vardas8785     7.45                7.40                
Pavarde8786    Vardas8786     6.31                6.20                
Pavarde8787    Vardas8787     6.25                5.80                
Pavarde8788    Vardas8788     5.19                5.40                
Pavarde8789    Vardas8789     5.08                5.00                
Pavarde8790    Vardas8790     5.08                5.00                
Pavarde8791    Vardas8791     3.69                3.40                
Pavarde8792    Vardas8792     7.83                7.80                
Pavarde8793    Vardas8793     3.68                3.60                
Pavarde8794    Vardas8794     3.41                3.20                
Pavarde8795    Vardas8795     5.27                5.00                
Pavarde8796    Vardas8796     3.35                3.80                
Pavarde8797    Vardas8797     7.83                8.20                
Pavarde8798    Vardas8798     5.31                5.60                
Pavarde8799    Vardas8799     6.19                6.00                
Pavarde8800    Vardas8800     8.51                8.80                
Pavarde8801    Vardas8801     4.15                4.20                
Pavarde8802    Vardas8802     3.23                3.20                
Pavarde8803    Vardas8803     6.57                6.60                
Pavarde8804    Vardas8804     6.83                6.80                
Pavarde8805    Vardas8805     3.93                3.80                
Pavarde8806    Vardas8806     3.80                3.40                
Pavarde8807    Vardas8807     3.68                4.00                
Pavarde8808    Vardas8808     6.96                6.80                
Pavarde8809    Vardas8809     2.95                3.40                
Pavarde8810    Vardas8810     7.40                7.40                
Pavarde8811    Vardas8811     5.57                5.60                
Pavarde8812    Vardas8812     5.49                5.20                
Pavarde8813    Vardas8813     6.41                6.60                
Pavarde8814    Vardas8814     4.37                4.00                
Pavarde8815    Vardas8815     5.56                5.80                
Pavarde8816    Vardas8816     3.24                3.40                
Pavarde8817    Vardas8817     3.19                3.40                
Pavarde8818    Vardas8818     8.48                8.40                
Pavarde8819    Vardas8819     7.04                7.20                
Pavarde8820    Vardas8820     4.19                4.00                
Pavarde8821    Vardas8821     3.43                3.40                
Pavarde8822    Vardas8822     5.76                5.20                
Pavarde8823    Vardas8823     6.36                6.20                
Pavarde8824    Vardas8824     3.13                3.40                
Pavarde8825    Vardas8825     5.53                5.80                
Pavarde8826    Vardas8826     6.00                6.00                
Pavarde8827    Vardas8827     2.79                2.60                
Pavarde8828    Vardas8828     2.92                3.00                
Pavarde8829    Vardas8829     3.96                4.20                
Pavarde8830    Vardas8830     3.05                3.00                
Pavarde8831    Vardas8831     5.23                5.60                
Pavarde8832    Vardas8832     3.00                2.60                
Pavarde8833    Vardas8833     2.95                3.00                
Pavarde8834    Vardas8834     8.03                8.00                
Pavarde8835    Vardas8835     6.17                6.20                
Pavarde8836    Vardas8836     7.12                7.20                
Pavarde8837    Vardas8837     5.60                5.60                
Pavarde8838    Vardas8838     7.53                7.40                
Pavarde8839    Vardas8839     4.43                4.80                
Pavarde8840    Vardas8840     5.71                6.00                
Pavarde8841    Vardas8841     3.89                4.00                
Pavarde8842    Vardas8842     6.11                6.40                
Pavarde8843    Vardas8843     8.29                8.40                
Pavarde8844    Vardas8844     5.33                4.80                
Pavarde8845    Vardas8845     3.95                4.00                
Pavarde8846    Vardas8846     4.40                4.40                
Pavarde8847    Vardas8847     3.77                3.80                
Pavarde8848    Vardas8848     5.05                5.00                
Pavarde8849    Vardas8849     4.04                4.20                
Pavarde8850    Vardas8850     4.12                4.20                
Pavarde8851    Vardas8851     2.52                2.60                
Pavarde8852    Vardas8852     7.85                7.80                
Pavarde8853    Vardas8853     5.13                5.40                
Pavarde8854    Vardas8854     7.91                8.20                
Pavarde8855    Vardas8855     7.11                6.60                
Pavarde8856    Vardas8856     8.61                9.20                
Pavarde8857    Vardas8857     6.47                6.20                
Pavarde8858    Vardas8858     3.72                3.00                
Pavarde8859    Vardas8859     5.84                6.00                
Pavarde8860    Vardas8860     4.20                4.60                
Pavarde8861    Vardas8861     7.41                7.60                
Pavarde8862    Vardas8862     2.63                2.60                
Pavarde8863    Vardas8863     7.35                7.40                
Pavarde8864    Vardas8864     8.29                8.80                
Pavarde8865    Vardas8865     7.53                7.40                
Pavarde8866    Vardas8866     4.81                5.00                
Pavarde8867    Vardas8867     3.97                3.60                
Pavarde8868    Vardas8868     3.12                3.20                
Pavarde8869    Vardas8869     4.25                4.20                
Pavarde8870    Vardas8870     8.27                8.40                
Pavarde8871    Vardas8871     3.15                2.80                
Pavarde8872    Vardas8872     3.88                3.40                
Pavarde8873    Vardas8873     7.75                7.80                
Pavarde8874    Vardas8874     4.61                4.80                
Pavarde8875    Vardas8875     3.59                3.80                
Pavarde8876    Vardas8876     2.84                2.60                
Pavarde8877    Vardas8877     5.57                5.60                
Pavarde8878    Vardas8878     4.12                4.20                
Pavarde8879    Vardas8879     2.47                2.60                
Pavarde8880    Vardas8880     3.25                3.60                
Pavarde8881    Vardas8881     3.77                3.40                
Pavarde8882    Vardas8882     7.56                7.40                
Pavarde8883    Vardas8883     5.24                5.00                
Pavarde8884    Vardas8884     4.44                5.00                
Pavarde8885    Vardas8885     8.03                8.00                
Pavarde8886    Vardas8886     3.01                3.20                
Pavarde8887    Vardas8887     5.05                5.00                
Pavarde8888    Vardas8888     4.76                4.20                
Pavarde8889    Vardas8889     2.84                3.00                
Pavarde8890    Vardas8890     6.52                7.00                
Pavarde8891    Vardas8891     5.76                6.00                
Pavarde8892    Vardas8892     6.56                6.00                
Pavarde8893    Vardas8893     2.87                3.00                
Pavarde8894    Vardas8894     7.37                7.40                
Pavarde8895    Vardas8895     3.72                3.40                
Pavarde8896    Vardas8896     4.80                5.20                
Pavarde8897    Vardas8897     5.81                6.00                
Pavarde8898    Vardas8898     6.88                6.80                
Pavarde8899    Vardas8899     7.52                7.60                
Pavarde8900    Vardas8900     8.00                8.00                
Pavarde8901    Vardas8901     7.77                7.80                
Pavarde8902    Vardas8902     3.85                3.40                
Pavarde8903    Vardas8903     5.97                6.00                
Pavarde8904    Vardas8904     3.27                3.40                
Pavarde8905    Vardas8905     7.33                7.60                
Pavarde8906    Vardas8906     4.73                4.20                
Pavarde8907    Vardas8907     6.37                6.80                
Pavarde8908    Vardas8908     4.35                4.40                
Pavarde8909    Vardas8909     6.93                6.80                
Pavarde8910    Vardas8910     5.07                5.20                
Pavarde8911    Vardas8911     2.91                2.80                
Pavarde8912    Vardas8912     7.23                7.60                
Pavarde8913    Vardas8913     4.85                5.20                
Pavarde8914    Vardas8914     5.29                5.00                
Pavarde8915    Vardas8915     3.93                4.20                
Pavarde8916    Vardas8916     7.35                7.40                
Pavarde8917    Vardas8917     7.45                7.00                
Pavarde8918    Vardas8918     7.08                6.60                
Pavarde8919    Vardas8919     4.56                4.40                
Pavarde8920    Vardas8920     8.29                8.40                
Pavarde8921    Vardas8921     5.81                6.40                
Pavarde8922    Vardas8922     8.72                9.20                
Pavarde8923    Vardas8923     6.39                6.60                
Pavarde8924    Vardas8924     6.53                7.20                
Pavarde8925    Vardas8925     7.65                6.80                
Pavarde8926    Vardas8926     7.79                8.00                
Pavarde8927    Vardas8927     4.12                4.20                
Pavarde8928    Vardas8928     7.44                7.60                
Pavarde8929    Vardas8929     6.85                6.80                
Pavarde8930    Vardas8930     6.63                7.00                
Pavarde8931    Vardas8931     3.93                3.80                
Pavarde8932    Vardas8932     4.04                3.80                
Pavarde8933    Vardas8933     5.81                5.60                
Pavarde8934    Vardas8934     6.73                7.00                
Pavarde8935    Vardas8935     2.73                3.00                
Pavarde8936    Vardas8936     6.55                7.00                
Pavarde8937    Vardas8937     8.35                8.40                
Pavarde8938    Vardas8938     5.87                6.00                
Pavarde8939    Vardas8939     5.33                5.20                
Pavarde8940    Vardas8940     2.76                2.20                
Pavarde8941    Vardas8941     5.69                5.80                
Pavarde8942    Vardas8942     7.15                7.20                
Pavarde8943    Vardas8943     8.27                8.40                
Pavarde8944    Vardas8944     7.43                7.80                
Pavarde8945    Vardas8945     6.99                6.80                
Pavarde8946    Vardas8946     3.64                3.00                
Pavarde8947    Vardas8947     5.16                5.00                
Pavarde8948    Vardas8948     6.51                6.00                
Pavarde8949    Vardas8949     5.19                5.40                
Pavarde8950    Vardas8950     5.16                5.40                
Pavarde8951    Vardas8951     5.01                5.20                
Pavarde8952    Vardas8952     2.36                1.80                
Pavarde8953    Vardas8953     5.79                5.60                
Pavarde8954    Vardas8954     6.17                5.80                
Pavarde8955    Vardas8955     3.41                3.60                
Pavarde8956    Vardas8956     8.48                8.40                
Pavarde8957    Vardas8957     8.83                9.20                
Pavarde8958    Vardas8958     4.53                4.40                
Pavarde8959    Vardas8959     7.87                7.60                
Pavarde8960    Vardas8960     3.44                3.20                
Pavarde8961    Vardas8961     4.53                4.40                
Pavarde8962    Vardas8962     7.95                8.00                
Pavarde8963    Vardas8963     6.97                7.40                
Pavarde8964    Vardas8964     8.20                8.60                
Pavarde8965    Vardas8965     2.84                3.00                
Pavarde8966    Vardas8966     5.00                5.00                
Pavarde8967    Vardas8967     5.60                5.60                
Pavarde8968    Vardas8968     6.84                7.00                
Pavarde8969    Vardas8969     4.35                4.00                
Pavarde8970    Vardas8970     4.45                4.40                
Pavarde8971    Vardas8971     2.71                2.60                
Pavarde8972    Vardas8972     7.04                7.20                
Pavarde8973    Vardas8973     3.61                3.40                
Pavarde8974    Vardas8974     4.48                4.40                
Pavarde8975    Vardas8975     3.16                3.40                
Pavarde8976    Vardas8976     7.04                6.80                
Pavarde8977    Vardas8977     8.12                8.20                
Pavarde8978    Vardas8978     4.35                3.60                
Pavarde8979    Vardas8979     6.56                6.80                
Pavarde8980    Vardas8980     3.44                3.20                
Pavarde8981    Vardas8981     8.32                8.00                
Pavarde8982    Vardas8982     5.44                5.20                
Pavarde8983    Vardas8983     2.31                1.80                
Pavarde8984    Vardas8984     3.63                4.40                
Pavarde8985    Vardas8985     8.37                8.40                
Pavarde8986    Vardas8986     3.41                3.60                
Pavarde8987    Vardas8987     3.81                4.00                
Pavarde8988    Vardas8988     6.68                6.60                
Pavarde8989    Vardas8989     5.31                5.20                
Pavarde8990    Vardas8990     6.65                6.60                
Pavarde8991    Vardas8991     6.03                6.00                
Pavarde8992    Vardas8992     3.73                3.60                
Pavarde8993    Vardas8993     8.36                8.20                
Pavarde8994    Vardas8994     5.12                5.60                
Pavarde8995    Vardas8995     3.21                3.40                
Pavarde8996    Vardas8996     4.27                4.40                
Pavarde8997    Vardas8997     4.96                5.20                
Pavarde8998    Vardas8998     4.08                4.00                
Pavarde8999    Vardas8999     5.27                5.80                
Pavarde9000    Vardas9000     7.19                7.40                
Pavarde9001    Vardas9001     3.25                3.20                
Pavarde9002    Vardas9002     4.53                4.40                
Pavarde9003    Vardas9003     3.47                3.20                
Pavarde9004    Vardas9004     4.20                4.20                
Pavarde9005    Vardas9005     6.07                5.80                
Pavarde9006    Vardas9006     7.85                7.80                
Pavarde9007    Vardas9007     5.19                5.00                
Pavarde9008    Vardas9008     3.25                3.60                
Pavarde9009    Vardas9009     6.16                6.40                
Pavarde9010    Vardas9010     3.39                3.60                
Pavarde9011    Vardas9011     4.05                3.60                
Pavarde9012    Vardas9012     6.83                6.80                
Pavarde9013    Vardas9013     7.96                8.20                
Pavarde9014    Vardas9014     2.92                3.00                
Pavarde9015    Vardas9015     5.88                5.40                
Pavarde9016    Vardas9016     7.63                7.20                
Pavarde9017    Vardas9017     2.60                2.60                
Pavarde9018    Vardas9018     7.64                7.40                
Pavarde9019    Vardas9019     5.27                5.00                
Pavarde9020    Vardas9020     6.21                6.00                
Pavarde9021    Vardas9021     7.97                7.60                
Pavarde9022    Vardas9022     4.92                4.60                
Pavarde9023    Vardas9023     4.11                4.00                
Pavarde9024    Vardas9024     4.11                4.40                
Pavarde9025    Vardas9025     4.95                4.60                
Pavarde9026    Vardas9026     2.85                2.80                
Pavarde9027    Vardas9027     3.08                3.00                
Pavarde9028    Vardas9028     7.43                7.00                
Pavarde9029    Vardas9029     6.05                6.40                
Pavarde9030    Vardas9030     7.61                7.80                
Pavarde9031    Vardas9031     5.29                5.80                
Pavarde9032    Vardas9032     6.87                7.00                
Pavarde9033    Vardas9033     4.12                4.20                
Pavarde9034    Vardas9034     4.01                3.80                
Pavarde9035    Vardas9035     7.24                6.60                
Pavarde9036    Vardas9036     7.72                8.20                
Pavarde9037    Vardas9037     3.11                3.40                
Pavarde9038    Vardas9038     6.97                7.00                
Pavarde9039    Vardas9039     6.83                6.80                
Pavarde9040    Vardas9040     5.93                5.80                
Pavarde9041    Vardas9041     7.61                7.80                
Pavarde9042    Vardas9042     7.16                7.40                
Pavarde9043    Vardas9043     6.85                7.20                
Pavarde9044    Vardas9044     4.97                4.60                
Pavarde9045    Vardas9045     6.00                6.40                
Pavarde9046    Vardas9046     2.36                2.60                
Pavarde9047    Vardas9047     8.19                8.00                
Pavarde9048    Vardas9048     3.12                2.80                
Pavarde9049    Vardas9049     3.36                3.60                
Pavarde9050    Vardas9050     4.01                4.20                
Pavarde9051    Vardas9051     4.56                4.80                
Pavarde9052    Vardas9052     6.36                7.00                
Pavarde9053    Vardas9053     2.85                2.80                
Pavarde9054    Vardas9054     4.51                4.40                
Pavarde9055    Vardas9055     7.37                7.40                
Pavarde9056    Vardas9056     5.95                6.00                
Pavarde9057    Vardas9057     6.17                5.80                
Pavarde9058    Vardas9058     4.16                4.00                
Pavarde9059    Vardas9059     4.52                4.60                
Pavarde9060    Vardas9060     3.63                3.60                
Pavarde9061    Vardas9061     4.32                4.00                
Pavarde9062    Vardas9062     4.96                5.60                
Pavarde9063    Vardas9063     5.63                6.00                
Pavarde9064    Vardas9064     6.88                6.40                
Pavarde9065    Vardas9065     4.48                4.40                
Pavarde9066    Vardas9066     3.09                2.80                
Pavarde9067    Vardas9067     7.61                7.80                
Pavarde9068    Vardas9068     5.47                5.20                
Pavarde9069    Vardas9069     5.73                5.60                
Pavarde9070    Vardas9070     2.63                2.60                
Pavarde9071    Vardas9071     6.99                6.80                
Pavarde9072    Vardas9072     3.91                3.80                
Pavarde9073    Vardas9073     5.24                5.00                
Pavarde9074    Vardas9074     7.36                7.60                
Pavarde9075    Vardas9075     8.40                8.80                
Pavarde9076    Vardas9076     7.97                8.00                
Pavarde9077    Vardas9077     5.13                4.60                
Pavarde9078    Vardas9078     4.84                5.00                
Pavarde9079    Vardas9079     5.35                5.00                
Pavarde9080    Vardas9080     3.16                3.40                
Pavarde9081    Vardas9081     6.28                6.20                
Pavarde9082    Vardas9082     7.51                7.40                
Pavarde9083    Vardas9083     5.37                5.00                
Pavarde9084    Vardas9084     7.07                7.60                
Pavarde9085    Vardas9085     8.56                8.40                
Pavarde9086    Vardas9086     3.59                3.80                
Pavarde9087    Vardas9087     3.85                3.80                
Pavarde9088    Vardas9088     8.35                8.00                
Pavarde9089    Vardas9089     7.80                7.40                
Pavarde9090    Vardas9090     6.35                6.40                
Pavarde9091    Vardas9091     5.19                5.40                
Pavarde9092    Vardas9092     7.60                7.60                
Pavarde9093    Vardas9093     6.25                6.20                
Pavarde9094    Vardas9094     2.92                3.40                
Pavarde9095    Vardas9095     4.72                4.80                
Pavarde9096    Vardas9096     7.84                8.00                
Pavarde9097    Vardas9097     4.19                3.60                
Pavarde9098    Vardas9098     3.71                3.60                
Pavarde9099    Vardas9099     3.05                3.00                
Pavarde9100    Vardas9100     3.32                3.40                
Pavarde9101    Vardas9101     4.89                5.00                
Pavarde9102    Vardas9102     5.87                6.40                
Pavarde9103    Vardas9103     6.08                6.00                
Pavarde9104    Vardas9104     7.53                7.00                
Pavarde9105    Vardas9105     4.12                4.20                
Pavarde9106    Vardas9106     7.80                8.20                
Pavarde9107    Vardas9107     4.21                4.40                
Pavarde9108    Vardas9108     5.79                6.00                
Pavarde9109    Vardas9109     5.87                6.80                
Pavarde9110    Vardas9110     7.84                7.60                
Pavarde9111    Vardas9111     5.75                5.40                
Pavarde9112    Vardas9112     2.63                3.00                
Pavarde9113    Vardas9113     6.28                6.20                
Pavarde9114    Vardas9114     7.88                8.60                
Pavarde9115    Vardas9115     7.85                7.80                
Pavarde9116    Vardas9116     5.37                5.00                
Pavarde9117    Vardas9117     3.45                3.00                
Pavarde9118    Vardas9118     5.68                5.60                
Pavarde9119    Vardas9119     5.03                5.00                
Pavarde9120    Vardas9120     3.04                2.80                
Pavarde9121    Vardas9121     6.99                6.80                
Pavarde9122    Vardas9122     7.35                7.00                
Pavarde9123    Vardas9123     3.72                3.00                
Pavarde9124    Vardas9124     3.91                3.80                
Pavarde9125    Vardas9125     6.72                6.80                
Pavarde9126    Vardas9126     4.33                4.60                
Pavarde9127    Vardas9127     6.11                6.40                
Pavarde9128    Vardas9128     2.47                2.60                
Pavarde9129    Vardas9129     3.67                3.00                
Pavarde9130    Vardas9130     6.96                6.80                
Pavarde9131    Vardas9131     3.79                3.60                
Pavarde9132    Vardas9132     6.00                6.00                
Pavarde9133    Vardas9133     4.48                4.40                
Pavarde9134    Vardas9134     6.87                7.00                
Pavarde9135    Vardas9135     4.56                4.40                
Pavarde9136    Vardas9136     4.93                4.80                
Pavarde9137    Vardas9137     3.76                4.00                
Pavarde9138    Vardas9138     5.79                5.20                
Pavarde9139    Vardas9139     7.24                7.00                
Pavarde9140    Vardas9140     5.53                5.40                
Pavarde9141    Vardas9141     4.41                4.60                
Pavarde9142    Vardas9142     2.85                2.80                
Pavarde9143    Vardas9143     7.85                7.80                
Pavarde9144    Vardas9144     7.19                7.00                
Pavarde9145    Vardas9145     6.00                6.00                
Pavarde9146    Vardas9146     4.93                4.80                
Pavarde9147    Vardas9147     8.40                8.40                
Pavarde9148    Vardas9148     6.72                6.80                
Pavarde9149    Vardas9149     4.67                4.80                
Pavarde9150    Vardas9150     8.25                8.60                
Pavarde9151    Vardas9151     7.81                7.60                
Pavarde9152    Vardas9152     3.65                3.60                
Pavarde9153    Vardas9153     5.73                6.00                
Pavarde9154    Vardas9154     3.41                3.20                
Pavarde9155    Vardas9155     4.88                5.20                
Pavarde9156    Vardas9156     5.49                5.20                
Pavarde9157    Vardas9157     5.85                5.40                
Pavarde9158    Vardas9158     4.85                5.20                
Pavarde9159    Vardas9159     5.52                5.20                
Pavarde9160    Vardas9160     3.88                4.60                
Pavarde9161    Vardas9161     5.05                5.00                
Pavarde9162    Vardas9162     4.76                4.60                
Pavarde9163    Vardas9163     4.11                4.00                
Pavarde9164    Vardas9164     3.31                3.60                
Pavarde9165    Vardas9165     3.12                3.20                
Pavarde9166    Vardas9166     5.45                5.40                
Pavarde9167    Vardas9167     8.27                8.40                
Pavarde9168    Vardas9168     5.87                6.00                
Pavarde9169    Vardas9169     3.31                2.80                
Pavarde9170    Vardas9170     5.61                5.80                
Pavarde9171    Vardas9171     4.89                4.60                
Pavarde9172    Vardas9172     3.77                3.40                
Pavarde9173    Vardas9173     6.04                5.80                
Pavarde9174    Vardas9174     7.45                7.40                
Pavarde9175    Vardas9175     2.95                3.00                
Pavarde9176    Vardas9176     5.57                5.60                
Pavarde9177    Vardas9177     4.99                5.60                
Pavarde9178    Vardas9178     8.08                7.60                
Pavarde9179    Vardas9179     4.37                4.00                
Pavarde9180    Vardas9180     6.20                6.20                
Pavarde9181    Vardas9181     4.95                5.00                
Pavarde9182    Vardas9182     4.87                4.60                
Pavarde9183    Vardas9183     2.23                2.20                
Pavarde9184    Vardas9184     7.57                7.60                
Pavarde9185    Vardas9185     7.36                7.20                
Pavarde9186    Vardas9186     6.55                6.60                
Pavarde9187    Vardas9187     6.52                6.60                
Pavarde9188    Vardas9188     2.85                2.80                
Pavarde9189    Vardas9189     3.75                3.80                
Pavarde9190    Vardas9190     5.00                4.60                
Pavarde9191    Vardas9191     6.51                6.40                
Pavarde9192    Vardas9192     4.45                4.40                
Pavarde9193    Vardas9193     2.23                1.80                
Pavarde9194    Vardas9194     3.05                3.00                
Pavarde9195    Vardas9195     4.28                4.20                
Pavarde9196    Vardas9196     6.57                6.60                
Pavarde9197    Vardas9197     5.63                5.60                
Pavarde9198    Vardas9198     5.85                5.40                
Pavarde9199    Vardas9199     6.93                7.20                
Pavarde9200    Vardas9200     8.01                8.20                
Pavarde9201    Vardas9201     7.84                8.00                
Pavarde9202    Vardas9202     4.65                4.60                
Pavarde9203    Vardas9203     5.27                5.00                
Pavarde9204    Vardas9204     7.77                8.20                
Pavarde9205    Vardas9205     7.40                7.00                
Pavarde9206    Vardas9206     6.88                6.80                
Pavarde9207    Vardas9207     7.88                7.80                
Pavarde9208    Vardas9208     7.91                8.20                
Pavarde9209    Vardas9209     2.95                3.00                
Pavarde9210    Vardas9210     7.51                7.40                
Pavarde9211    Vardas9211     5.39                5.20                
Pavarde9212    Vardas9212     2.71                2.60                
Pavarde9213    Vardas9213     3.03                3.00                
Pavarde9214    Vardas9214     4.48                4.80                
Pavarde9215    Vardas9215     7.72                7.40                
Pavarde9216    Vardas9216     6.96                6.80                
Pavarde9217    Vardas9217     5.77                5.80                
Pavarde9218    Vardas9218     3.08                3.80                
Pavarde9219    Vardas9219     7.01                6.80                
Pavarde9220    Vardas9220     3.33                3.20                
Pavarde9221    Vardas9221     4.53                4.40                
Pavarde9222    Vardas9222     3.79                4.00                
Pavarde9223    Vardas9223     6.28                6.20                
Pavarde9224    Vardas9224     3.79                4.00                
Pavarde9225    Vardas9225     3.21                3.40                
Pavarde9226    Vardas9226     8.59                8.80                
Pavarde9227    Vardas9227     6.84                7.00                
Pavarde9228    Vardas9228     8.83                9.20                
Pavarde9229    Vardas9229     6.99                6.80                
Pavarde9230    Vardas9230     4.37                4.40                
Pavarde9231    Vardas9231     3.83                4.20                
Pavarde9232    Vardas9232     4.92                4.20                
Pavarde9233    Vardas9233     3.93                3.80                
Pavarde9234    Vardas9234     5.64                5.80                
Pavarde9235    Vardas9235     6.33                6.60                
Pavarde9236    Vardas9236     5.08                5.00                
Pavarde9237    Vardas9237     7.12                6.80                
Pavarde9238    Vardas9238     3.39                3.20                
Pavarde9239    Vardas9239     3.96                4.20                
Pavarde9240    Vardas9240     7.81                8.00                
Pavarde9241    Vardas9241     5.48                6.20                
Pavarde9242    Vardas9242     5.88                5.80                
Pavarde9243    Vardas9243     5.91                5.80                
Pavarde9244    Vardas9244     4.77                4.80                
Pavarde9245    Vardas9245     7.83                8.20                
Pavarde9246    Vardas9246     8.19                8.40                
Pavarde9247    Vardas9247     8.00                7.60                
Pavarde9248    Vardas9248     4.83                4.40                
Pavarde9249    Vardas9249     5.08                4.60                
Pavarde9250    Vardas9250     5.76                6.00                
Pavarde9251    Vardas9251     3.67                3.80                
Pavarde9252    Vardas9252     3.91                3.80                
Pavarde9253    Vardas9253     5.21                5.40                
Pavarde9254    Vardas9254     4.20                4.60                
Pavarde9255    Vardas9255     4.27                4.00                
Pavarde9256    Vardas9256     7.56                7.40                
Pavarde9257    Vardas9257     7.45                7.40                
Pavarde9258    Vardas9258     2.83                2.80                
Pavarde9259    Vardas9259     4.53                4.80                
Pavarde9260    Vardas9260     2.97                2.60                
Pavarde9261    Vardas9261     5.72                5.40                
Pavarde9262    Vardas9262     7.09                8.00                
Pavarde9263    Vardas9263     7.01                6.80                
Pavarde9264    Vardas9264     2.04                2.20                
Pavarde9265    Vardas9265     3.97                4.00                
Pavarde9266    Vardas9266     5.00                5.00                
Pavarde9267    Vardas9267     5.27                5.40                
Pavarde9268    Vardas9268     6.73                7.00                
Pavarde9269    Vardas9269     7.48                7.80                
Pavarde9270    Vardas9270     8.01                8.20                
Pavarde9271    Vardas9271     3.68                4.00                
Pavarde9272    Vardas9272     7.95                8.40                
Pavarde9273    Vardas9273     7.33                7.20                
Pavarde9274    Vardas9274     4.84                4.20                
Pavarde9275    Vardas9275     3.96                4.20                
Pavarde9276    Vardas9276     2.79                3.40                
Pavarde9277    Vardas9277     3.85                3.40                
Pavarde9278    Vardas9278     3.33                3.20                
Pavarde9279    Vardas9279     7.75                7.40                
Pavarde9280    Vardas9280     4.92                5.00                
Pavarde9281    Vardas9281     5.20                5.20                
Pavarde9282    Vardas9282     3.03                3.00                
Pavarde9283    Vardas9283     3.39                3.60                
Pavarde9284    Vardas9284     4.69                4.80                
Pavarde9285    Vardas9285     4.75                4.80                
Pavarde9286    Vardas9286     3.51                3.40                
Pavarde9287    Vardas9287     4.51                4.40                
Pavarde9288    Vardas9288     6.61                7.20                
Pavarde9289    Vardas9289     3.99                4.20                
Pavarde9290    Vardas9290     6.04                5.80                
Pavarde9291    Vardas9291     6.99                6.80                
Pavarde9292    Vardas9292     6.31                5.80                
Pavarde9293    Vardas9293     6.13                6.40                
Pavarde9294    Vardas9294     5.03                5.00                
Pavarde9295    Vardas9295     7.32                7.00                
Pavarde9296    Vardas9296     3.85                3.40                
Pavarde9297    Vardas9297     7.19                7.00                
Pavarde9298    Vardas9298     3.17                3.20                
Pavarde9299    Vardas9299     2.31                1.80                
Pavarde9300    Vardas9300     7.04                7.20                
Pavarde9301    Vardas9301     5.39                5.20                
Pavarde9302    Vardas9302     6.09                5.80                
Pavarde9303    Vardas9303     6.57                6.60                
Pavarde9304    Vardas9304     5.37                5.80                
Pavarde9305    Vardas9305     7.36                7.60                
Pavarde9306    Vardas9306     5.07                4.40                
Pavarde9307    Vardas9307     4.31                4.60                
Pavarde9308    Vardas9308     4.32                4.40                
Pavarde9309    Vardas9309     4.59                4.40                
Pavarde9310    Vardas9310     4.09                3.80                
Pavarde9311    Vardas9311     4.72                4.80                
Pavarde9312    Vardas9312     8.27                8.40                
Pavarde9313    Vardas9313     7.31                7.20                
Pavarde9314    Vardas9314     5.79                6.00                
Pavarde9315    Vardas9315     6.11                6.40                
Pavarde9316    Vardas9316     3.15                2.80                
Pavarde9317    Vardas9317     3.20                3.20                
Pavarde9318    Vardas9318     8.27                8.00                
Pavarde9319    Vardas9319     8.53                9.20                
Pavarde9320    Vardas9320     8.21                8.80                
Pavarde9321    Vardas9321     2.76                3.00                
Pavarde9322    Vardas9322     6.00                6.00                
Pavarde9323    Vardas9323     5.65                5.60                
Pavarde9324    Vardas9324     5.19                5.40                
Pavarde9325    Vardas9325     3.57                3.20                
Pavarde9326    Vardas9326     7.05                7.40                
Pavarde9327    Vardas9327     7.15                7.60                
Pavarde9328    Vardas9328     5.72                5.80                
